id,Summary,Sponsor,Component,Status,Owner,Type,Priority,Milestone,Severity,Keywords
27146,Mismatched digest in 0.3.3.9 and master mixed chutney network,Sponsor8-can,Core Tor/Tor,assigned,teor,defect,Very High,Tor: 0.3.5.x-final,Normal,"regression, tor-dirauth, macOS, 035-roadmap-proposed, 035-can"
28558,Crash in memoize_protover_summary() when cache is full,Sponsor8,Core Tor/Tor,assigned,nickm,defect,Very High,Tor: 0.4.0.x-final,Normal,
10059,capture tor log messages before control connection is opened,Sponsor8,Core Tor/Tor,new,nickm,enhancement,High,Tor: unspecified,Normal,"tbb-usability, extdev-interview, tbb-needs, 034-triage-20180328, 035-removed-20180711"
23289,Improving HS reachability for Orbot/Android users,Sponsor8-can,Core Tor/Tor,new,n8fr8,enhancement,High,Tor: unspecified,Normal,"orbot, mobile, android, 034-triage-20180328, 034-removed-20180328"
23508,large clock skews cause numerous bootstrap UX issues,Sponsor8-can,Core Tor/Tor,new,,defect,High,Tor: unspecified,Major,"bootstrap, clock-skew, usability, ux, 032-unreached, s8-errors"
23573,Do we want to close all connections when tor closes?,Sponsor8,Core Tor/Tor,needs_revision,,enhancement,High,Tor: 0.3.5.x-final,Normal,"shutdown, privcount, correctness, chutney-wants, review-group-24, 034-triage-20180328, 034-included20180401, 035-roadmap-subtask, 035-triaged-in-20180711"
23882,Investigate implementing a Rust allocator wrapping tor_malloc,Sponsor8-can,Core Tor/Tor,new,,enhancement,High,Tor: 0.4.0.x-final,Normal,"rust, rust-pilot, 034-triage-20180328, 034-removed-20180328"
24061,Collect Baseline Measurements for Different Android Performance Metrics,Sponsor8,Core Tor/Tor,assigned,ahf,project,High,Tor: unspecified,Normal,"s8-perf, s8-201710, 034-triage-20180328, 034-removed-20180328"
28849,Handle dormant mode in process library and for PT's,Sponsor8,Core Tor/Tor,new,,enhancement,High,Tor: 0.4.0.x-final,Normal,
2681,brainstorm ways to let Tor clients use yesterday's consensus more safely,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"prop212, tor-client, small-feature, tor-dos-dirauth, low-bandwidth, sponsor4, sponsor8-maybe, 034-triage-20180328, 034-removed-20180328 035-removed"
7707,Impose a minimum write size for TLS writes,Sponsor8-can,Core Tor/Tor,needs_information,,defect,Medium,Tor: unspecified,Normal,"tor-relay, performance, bwbug, bandwidth sponsor8-maybe tls nagle, 032-unreached"
